lat,lng,Title
-33.953941,151.003945,Syzygium luehmannii
-33.953953,151.003867,Syzygium sp.
-33.95399,151.003553,Callistemon viminalis
-33.953923,151.004051,Tristaniopsis laurina 'Luscious'
-33.953889,151.004451,Callistemon viminalis
-33.95394,151.004877,Nerium oleander
-33.953941,151.004939,Lophostemon confertus
-33.954063,151.005094,Lophostemon confertus
-33.961707,150.996831,Olea africana
-33.962075,150.9969,Eucalyptus tereticornis
-33.962172,150.996876,Corymbia maculata
-33.962396,150.996706,Callistemon viminalis
-33.962317,150.996864,Callistemon viminalis
-33.962651,150.996659,Eucalyptus sp.
-33.962547,150.996825,Callistemon viminalis
-33.962877,150.996626,Ceratopetalum gummiferum
-33.962689,150.996799,Tristaniopsis laurina
-33.962823,150.996773,Callistemon viminalis
-33.962882,150.99677,Robinia pseudoacacia
-33.963121,150.996566,Eucalyptus tereticornis
-33.962935,150.996758,Robinia pseudoacacia
-33.962908,150.996762,Prunus sp.
-33.963245,150.996554,Eucalyptus ficifolia (grafted stock)
-33.962987,150.996744,Fraxinus 'Griffithii'
-33.963154,150.996706,Eucalyptus ficifolia (grafted stock)
-33.963478,150.996597,Callistemon viminalis
-33.96329,150.996668,Callistemon viminalis
-33.963415,150.996681,Lagerstroemia indica cv.
-33.961436,150.997983,Fraxinus 'Griffithii'
-33.961648,150.997744,Lophostemon confertus
-33.961633,150.997571,Lophostemon confertus
-33.961552,150.997852,Callistemon viminalis
-33.961545,150.997791,Callistemon viminalis
-33.961584,150.997232,Lophostemon confertus
-33.961542,150.99773,Callistemon viminalis
-33.961571,150.99679,Platanus x hybrida
-33.961347,150.997035,Callistemon viminalis
-33.961247,150.996909,Callistemon viminalis
-33.9615,150.996477,Lophostemon confertus
-33.961166,150.996934,Callistemon viminalis
-33.96147,150.996178,Eucalyptus sp.
-33.961443,150.996044,Lophostemon confertus
-33.961393,150.996656,Lophostemon confertus
-33.96139,150.995698,Callistemon citrinus
-33.96137,150.996486,Lophostemon confertus
-33.961353,150.996342,Tristaniopsis laurina
-33.96133,150.995279,Callistemon salignus
-33.961339,150.996221,Unident / evergreen / Exotic
-33.961245,150.99545,Callistemon viminalis
-33.961265,150.995653,Callistemon salignus
-33.961277,150.995712,Callistemon salignus
-33.961178,150.995969,Callistemon viminalis
-33.961125,150.995829,Callistemon viminalis
-33.961561,150.995742,Callistemon salignus
-33.961948,150.995661,Callistemon salignus
-33.962009,150.995656,Callistemon salignus
-33.960884,150.996013,Callistemon viminalis
-33.960755,150.996044,Callistemon viminalis
-33.96208,150.995803,Tristaniopsis laurina
-33.960691,150.996041,Callistemon viminalis
-33.96171,150.995882,Callistemon viminalis
-33.960547,150.996054,Callistemon viminalis
-33.960431,150.996072,Callistemon viminalis
-33.946718,151.004162,Callistemon viminalis
-33.94675,151.004415,Lophostemon confertus
-33.946772,151.004566,Lophostemon confertus
-33.946813,151.004763,Lophostemon confertus
-33.946849,151.005073,Callistemon viminalis
-33.947096,151.005201,Callistemon viminalis
-33.948342,151.003977,Lophostemon confertus
-33.94722,151.005164,Callistemon viminalis
-33.948372,151.004216,Prunus cerasifera 'Nigra'
-33.947336,151.005148,Callistemon viminalis
-33.948378,151.004258,Malus sp.
-33.947517,151.005098,Callistemon viminalis
-33.948395,151.004368,Callistemon viminalis
-33.947673,151.005077,Callistemon viminalis
-33.969929,151.004364,Melaleuca linariifolia
-33.969822,151.004375,Callistemon viminalis
-33.969682,151.004402,Callistemon viminalis
-33.94784,151.005045,Sapium sebiferum
-33.948515,151.004563,Callistemon viminalis
-33.948105,151.004974,Callistemon viminalis
-33.969257,151.004586,Callistemon viminalis
-33.948463,151.0042,Callistemon viminalis
-33.96913,151.004623,Callistemon viminalis
-33.948422,151.003972,Callistemon viminalis
-33.948714,151.004834,Callistemon viminalis
-33.948372,151.003546,Callistemon viminalis
-33.969009,151.004641,Callistemon viminalis
-33.968851,151.004663,Callistemon viminalis
-33.948273,151.003556,Callistemon viminalis
-33.968694,151.004634,Callistemon viminalis
-33.948306,151.00373,Callistemon viminalis
-33.968418,151.004655,Callistemon viminalis
-33.968294,151.004692,Callistemon viminalis
-33.967762,151.004899,Callistemon viminalis
-33.967597,151.00493,Brachychiton acerifolius
-33.948448,151.003269,Callistemon viminalis
